"title","author","subject","abstract","date"
"a rag method for source code inquiry tailored to long-context llms","toshihiro kamiya","software engineering","although the context length limitation of large language models (llms) has been mitigated, it still hinders their application to software development tasks. this study proposes a method incorporating execution traces into rag for inquiries about source code. small-scale experiments confirm a tendency for the method to contribute to improving llm response quality.",2024-04-09
"kamping: flexible and (near) zero-overhead c++ bindings for mpi","demian hespe, lukas hübner, florian kurpicz, peter sanders, matthias schimek, daniel seemaier, christoph stelz, tim niklas uhl","distributed, parallel, and cluster computing","the message-passing interface (mpi) and c++ form the backbone of high-performance computing, but mpi only provides c and fortran bindings. while this offers great language interoperability, high-level programming languages like c++ make software development quicker and less error-prone.
we propose novel c++ language bindings that cover all abstraction levels from low-level mpi calls to convenient stl-style bindings, where most parameters are inferred from a small subset of parameters, by bringing named parameters to c++. this enables rapid prototyping and fine-tuning runtime behavior and memory management. a flexible type system and additional safeness guarantees help to prevent programming errors.
by exploiting c++'s template-metaprogramming capabilities, this has (near) zero-overhead, as only required code paths are generated at compile time.
we demonstrate that our library is a strong foundation for a future distributed standard library using multiple application benchmarks, ranging from text-book sorting algorithms to phylogenetic interference.",2024-04-08
"synergy of large language model and model driven engineering for automated development of centralized vehicular systems","nenad petrovic, fengjunjie pan, krzysztof lebioda, vahid zolfaghari, sven kirchner, nils purschke, muhammad aqib khan, viktor vorobev, alois knoll","software engineering","we present a prototype of a tool leveraging the synergy of model driven engineering (mde) and large language models (llm) for the purpose of software development process automation in the automotive industry. in this approach, the user-provided input is free form textual requirements, which are first translated to ecore model instance representation using an llm, which is afterwards checked for consistency using object constraint language (ocl) rules. after successful consistency check, the model instance is fed as input to another llm for the purpose of code generation. the generated code is evaluated in a simulated environment using carla simulator connected to an example centralized vehicle architecture, in an emergency brake scenario.",2024-04-08
"autocoderover: autonomous program improvement","yuntong zhang, haifeng ruan, zhiyu fan, abhik roychoudhury","software engineering","researchers have made significant progress in automating the software development process in the past decades. recent progress in large language models (llms) has significantly impacted the development process, where developers can use llm-based programming assistants to achieve automated coding. nevertheless software engineering involves the process of program improvement apart from coding, specifically to enable software maintenance (e.g. bug fixing) and software evolution (e.g. feature additions). in this paper, we propose an automated approach for solving github issues to autonomously achieve program improvement. in our approach called autocoderover, llms are combined with sophisticated code search capabilities, ultimately leading to a program modification or patch. in contrast to recent llm agent approaches from ai researchers and practitioners, our outlook is more software engineering oriented. we work on a program representation (abstract syntax tree) as opposed to viewing a software project as a mere collection of files. our code search exploits the program structure in the form of classes/methods to enhance llm's understanding of the issue's root cause, and effectively retrieve a context via iterative search. the use of spectrum based fault localization using tests, further sharpens the context, as long as a test-suite is available. experiments on swe-bench-lite which consists of 300 real-life github issues show increased efficacy in solving github issues (22-23% on swe-bench-lite). on the full swe-bench consisting of 2294 github issues, autocoderover solved around 16% of issues, which is higher than the efficacy of the recently reported ai software engineer devin from cognition labs, while taking time comparable to devin. we posit that our workflow enables autonomous software engineering, where, in future, auto-generated code from llms can be autonomously improved.",2024-04-08
"ai for devsecops: a landscape and future opportunities","michael fu, jirat pasuksmit, chakkrit tantithamthavorn","software engineering","devops has emerged as one of the most rapidly evolving software development paradigms. with the growing concerns surrounding security in software systems, the devsecops paradigm has gained prominence, urging practitioners to incorporate security practices seamlessly into the devops workflow. however, integrating security into the devops workflow can impact agility and impede delivery speed. recently, the advancement of artificial intelligence (ai) has revolutionized automation in various software domains, including software security. ai-driven security approaches, particularly those leveraging machine learning or deep learning, hold promise in automating security workflows. they reduce manual efforts, which can be integrated into devops to ensure uninterrupted delivery speed and align with the devsecops paradigm simultaneously. this paper seeks to contribute to the critical intersection of ai and devsecops by presenting a comprehensive landscape of ai-driven security techniques applicable to devops and identifying avenues for enhancing security, trust, and efficiency in software development processes. we analyzed 99 research papers spanning from 2017 to 2023. specifically, we address two key research questions (rqs). in rq1, we identified 12 security tasks associated with the devops process and reviewed existing ai-driven security approaches. in rq2, we discovered 15 challenges encountered by existing ai-driven security approaches and derived future research opportunities. drawing insights from our findings, we discussed the state-of-the-art ai-driven security approaches, highlighted challenges in existing research, and proposed avenues for future opportunities.",2024-04-07
"search-based automated program repair of cps controllers modeled in simulink-stateflow","aitor arrieta, pablo valle, shaukat ali","software engineering","stateflow models are widely used in the industry to model the high-level control logic of cyber-physical systems (cpss) in simulink--the defacto cps simulator. many approaches exist to test simulink models, but once a fault is detected, the process to repair it remains manual. such a manual process increases the software development cost, making it paramount to develop novel techniques that reduce this cost. automated program repair (apr) techniques can significantly reduce the time for fixing bugs by automatically generating patches. however, current approaches face scalability issues to be applicable in the cps context. to deal with this problem, we propose an automated search-based approach called flowrepair, explicitly designed to repair stateflow models. the novelty of flowrepair includes, (1) a new algorithm that combines global and local search for patch generation; (2) a definition of novel repair objectives (e.g., the time a fault remained active) specifically designed for repairing cpss; and (3) a set of mutation operators to repair stateflow models automatically. we evaluated flowrepair with three different case study systems and a total of nine faulty stateflow models. our experiments suggest that (1) flo wrepaircan fix bugs in stateflow models, including models with multiple faults; (2) flowrepair surpasses or performs similarly to a baseline apr technique inspired by a well-known cps program repair approach. besides, we provide both a replication package and a live repository, paving the way towards the apr of cpss modeled in simulink.",2024-04-06
"towards understanding the impact of code modifications on software quality metrics","thomas karanikiotis, andreas l. symeonidis","software engineering","context: in the realm of software development, maintaining high software quality is a persistent challenge. however, this challenge is often impeded by the lack of comprehensive understanding of how specific code modifications influence quality metrics.
objective: this study ventures to bridge this gap through an approach that aspires to assess and interpret the impact of code modifications. the underlying hypothesis posits that code modifications inducing similar changes in software quality metrics can be grouped into distinct clusters, which can be effectively described using an ai language model, thus providing a simple understanding of code changes and their quality implications.
method: to validate this hypothesis, we built and analyzed a dataset from popular github repositories, segmented into individual code modifications. each project was evaluated against software quality metrics pre and post-application. machine learning techniques were utilized to cluster these modifications based on the induced changes in the metrics. simultaneously, an ai language model was employed to generate descriptions of each modification's function.
results: the results reveal distinct clusters of code modifications, each accompanied by a concise description, revealing their collective impact on software quality metrics.
conclusions: the findings suggest that this research is a significant step towards a comprehensive understanding of the complex relationship between code changes and software quality, which has the potential to transform software maintenance strategies and enable the development of more accurate quality prediction models.",2024-04-05
"x-lifecycle learning for cloud incident management using llms","drishti goel, fiza husain, aditya singh, supriyo ghosh, anjaly parayil, chetan bansal, xuchao zhang, saravan rajmohan","networking and internet architecture","incident management for large cloud services is a complex and tedious process and requires significant amount of manual efforts from on-call engineers (oces). oces typically leverage data from different stages of the software development lifecycle [sdlc] (e.g., codes, configuration, monitor data, service properties, service dependencies, trouble-shooting documents, etc.) to generate insights for detection, root causing and mitigating of incidents. recent advancements in large language models [llms] (e.g., chatgpt, gpt-4, gemini) created opportunities to automatically generate contextual recommendations to the oces assisting them to quickly identify and mitigate critical issues. however, existing research typically takes a silo-ed view for solving a certain task in incident management by leveraging data from a single stage of sdlc. in this paper, we demonstrate that augmenting additional contextual data from different stages of sdlc improves the performance of two critically important and practically challenging tasks: (1) automatically generating root cause recommendations for dependency failure related incidents, and (2) identifying ontology of service monitors used for automatically detecting incidents. by leveraging 353 incident and 260 monitor dataset from microsoft, we demonstrate that augmenting contextual information from different stages of the sdlc improves the performance over state-of-the-art methods.",2024-02-15
"codeeditorbench: evaluating code editing capability of large language models","jiawei guo, ziming li, xueling liu, kaijing ma, tianyu zheng, zhouliang yu, ding pan, yizhi li, ruibo liu, yue wang, shuyue guo, xingwei qu, xiang yue, ge zhang, wenhu chen, jie fu","software engineering","large language models (llms) for code are rapidly evolving, with code editing emerging as a critical capability. we introduce codeeditorbench, an evaluation framework designed to rigorously assess the performance of llms in code editing tasks, including debugging, translating, polishing, and requirement switching. unlike existing benchmarks focusing solely on code generation, codeeditorbench emphasizes real-world scenarios and practical aspects of software development. we curate diverse coding challenges and scenarios from five sources, covering various programming languages, complexity levels, and editing tasks. evaluation of 19 llms reveals that closed-source models (particularly gemini-ultra and gpt-4), outperform open-source models in codeeditorbench, highlighting differences in model performance based on problem types and prompt sensitivities. codeeditorbench aims to catalyze advancements in llms by providing a robust platform for assessing code editing capabilities. we will release all prompts and datasets to enable the community to expand the dataset and benchmark emerging llms. by introducing codeeditorbench, we contribute to the advancement of llms in code editing and provide a valuable resource for researchers and practitioners.",2024-04-04
"enhancing student engagement in large-scale capstone courses: an experience report","asma shakil, paul denny","computers and society","computer science (cs) capstone courses offer students a valuable opportunity to gain hands-on experience in software development, practice essential soft skills, and enhance their employability prospects. they are a core component in many cs undergraduate degrees and address the acm curricula requirements of inculcating professional dispositions in students and making them aware of the broader societal implications of computing. however, coordinating a capstone course, especially for a large student cohort, can be a daunting task for academic staff. it demands considerable time and energy for planning and coordinating activities between students, academic staff, and any external stakeholders. in this experience report, we outline the iterative development and refinement of our capstone course as it grew substantially in size over a span of six consecutive sessions. we outline the pedagogies that helped us to enhance student engagement and motivation in the course as assessed by end-of-course surveys and students' written reflections. we share the lessons that we have learnt and provide recommendations to educators who are designing new capstone courses or looking to scale existing ones.",2024-04-03
"self-organized agents: a llm multi-agent framework toward ultra large-scale code generation and optimization","yoichi ishibashi, yoshimasa nishimura","software engineering","recent advancements in automatic code generation using large language model (llm) agent have brought us closer to the future of automated software development. however, existing single-agent approaches face limitations in generating and improving large-scale, complex codebases due to constraints in context length. to tackle this challenge, we propose self-organized multi-agent framework (soa), a novel multi-agent framework that enables the scalable and efficient generation and optimization of large-scale code. in soa, self-organized agents operate independently to generate and modify code components while seamlessly collaborating to construct the overall codebase. a key feature of our framework is the automatic multiplication of agents based on problem complexity, allowing for dynamic scalability. this enables the overall code volume to be increased indefinitely according to the number of agents, while the amount of code managed by each agent remains constant. we evaluate soa on the humaneval benchmark and demonstrate that, compared to a single-agent system, each agent in soa handles significantly less code, yet the overall generated code is substantially greater. moreover, soa surpasses the powerful single-agent baseline by 5% in terms of pass@1 accuracy.",2024-04-02
"an exploratory study of the relationship between satd and other software development activities","shima esfandiari, ashkan sami","software engineering","technical debt is a common issue that arises when short-term gains are prioritized over long-term costs, leading to a degradation in the quality of the code. self-admitted technical debt (satd) is a specific type of technical debt that involves documenting code to remind developers of its debt. previous research has explored various aspects of satd, including detection methods, distribution, and its impact on software quality. to better understand satd, one comprehension technique is to examine its co-occurrence with other activities, such as refactoring and bug fixing. this study investigates the relationship between removing and adding satd and activities such as refactoring, bug fixing, adding new features, and testing. to do so, we analyzed 77 open-source java projects using todo/fixme/xxx removal or addition in inline comments as indicators of satd. we examined the co-occurrence of satd with each activity in each project through chi-square and odds ratio evaluations. our results show that satd removal occurs simultaneously with refactoring in 95% of projects, while its addition occurs in 89% of projects. furthermore, we found that three types of refactoring - ""move class"", ""remove method"", and ""move attribute"" - occur more frequently in the presence of satd. however, their distribution is similar in projects with and without satd.",2024-04-02
"automated user story generation with test case specification using large language model","tajmilur rahman, yuecai zhu","software engineering","modern software engineering era is moving fast with the assistance of artificial intelligence (ai), especially large language models (llm). researchers have already started automating many parts of the software development workflow. requirements engineering (re) is a crucial phase that begins the software development cycle through multiple discussions on a proposed scope of work documented in different forms. re phase ends with a list of user-stories for each unit task identified through discussions and usually these are created and tracked on a project management tool such as jira, azurdev etc. in this research we developed a tool ""geneus"" using gpt-4.0 to automatically create user stories from requirements document which is the outcome of the re phase. the output is provided in json format leaving the possibilities open for downstream integration to the popular project management tools. analyzing requirements documents takes significant effort and multiple meetings with stakeholders. we believe, automating this process will certainly reduce additional load off the software engineers, and increase the productivity since they will be able to utilize their time on other prioritized tasks.",2024-04-02
"octopus: on-device language model for function calling of software apis","wei chen, zhiyuan li, mingyuan ma","computation and language","in the rapidly evolving domain of artificial intelligence, large language models (llms) play a crucial role due to their advanced text processing and generation abilities. this study introduces a new strategy aimed at harnessing on-device llms in invoking software apis. we meticulously compile a dataset derived from software api documentation and apply fine-tuning to llms with capacities of 2b, 3b and 7b parameters, specifically to enhance their proficiency in software api interactions. our approach concentrates on refining the models' grasp of api structures and syntax, significantly enhancing the accuracy of api function calls. additionally, we propose \textit{conditional masking} techniques to ensure outputs in the desired formats and reduce error rates while maintaining inference speeds. we also propose a novel benchmark designed to evaluate the effectiveness of llms in api interactions, establishing a foundation for subsequent research. octopus, the fine-tuned model, is proved to have better performance than gpt-4 for the software apis calling. this research aims to advance automated software development and api integration, representing substantial progress in aligning llm capabilities with the demands of practical software engineering applications.",2024-04-02
"evaluating privacy perceptions, experience, and behavior of software development teams","maxwell prybylo, sara haghighi, sai teja peddinti, sepideh ghanavati","software engineering","with the increase in the number of privacy regulations, small development teams are forced to make privacy decisions on their own. in this paper, we conduct a mixed-method survey study, including statistical and qualitative analysis, to evaluate the privacy perceptions, practices, and knowledge of members involved in various phases of software development (sdlc). our survey includes 362 participants from 23 countries, encompassing roles such as product managers, developers, and testers. our results show diverse definitions of privacy across sdlc roles, emphasizing the need for a holistic privacy approach throughout sdlc. we find that software teams, regardless of their region, are less familiar with privacy concepts (such as anonymization), relying on self-teaching and forums. most participants are more familiar with gdpr and hipaa than other regulations, with multi-jurisdictional compliance being their primary concern. our results advocate the need for role-dependent solutions to address the privacy challenges, and we highlight research directions and educational takeaways to help improve privacy-aware software development.",2024-04-01
"peros: personalized self-adapting operating systems in the cloud","hongyu hè","human-computer interaction","operating systems (oses) are foundational to computer systems, managing hardware resources and ensuring secure environments for diverse applications. however, despite their enduring importance, the fundamental design objectives of oses have seen minimal evolution over decades. traditionally prioritizing aspects like speed, memory efficiency, security, and scalability, these objectives often overlook the crucial aspect of intelligence as well as personalized user experience. the lack of intelligence becomes increasingly critical amid technological revolutions, such as the remarkable advancements in machine learning (ml).
today's personal devices, evolving into intimate companions for users, pose unique challenges for traditional oses like linux and ios, especially with the emergence of specialized hardware featuring heterogeneous components. furthermore, the rise of large language models (llms) in ml has introduced transformative capabilities, reshaping user interactions and software development paradigms.
while existing literature predominantly focuses on leveraging ml methods for system optimization or accelerating ml workloads, there is a significant gap in addressing personalized user experiences at the os level. to tackle this challenge, this work proposes peros, a personalized os ingrained with llm capabilities. peros aims to provide tailored user experiences while safeguarding privacy and personal data through declarative interfaces, self-adaptive kernels, and secure data management in a scalable cloud-centric architecture; therein lies the main research question of this work: how can we develop intelligent, secure, and scalable oses that deliver personalized experiences to thousands of users?",2024-03-26
"an ultra-high-speed reproducing kernel particle method","siavash jafarzadeh, michael hillman","numerical analysis","in this work, the fast-convolving reproducing kernel particle method (fc-rkpm) is introduced. this method is hundreds to millions of times faster than the traditional rkpm for 3d meshfree simulations. in this approach, the meshfree discretizations with rk approximation are expressed in terms of convolution sums. fast fourier transform (fft) is then used to efficiently compute the convolutions. certain modifications to the domain and shape functions are considered to maintain generality for complex geometries and arbitrary boundary conditions. the new method does not need to identify, store, and loop over the neighbors which is one of the bottleneck of the traditional meshfree methods. as a result, the run-times and memory allocations are independent of the number of neighbors and the shape function support size. as a model problem, the method is laid out for a galerkin weak form of the poisson problem with the rk approximation, and is verified in 1d, 2d, and 3d. tables with run-times and allocated memory are presented to compare the performance of fc-rkpm with the traditional method in 3d. the performance is studied for various node numbers, support size, and approximation degree. all the implementation details and the roadmap for software development are also provided. application of the new method to nonlinear and explicit problems are briefly discussed as well.",2024-03-28
"cycling on the freeway: the perilous state of open source neuroscience software","britta u. westner, daniel r. mccloy, eric larson, alexandre gramfort, daniel s. katz, arfon m. smith, invited co-signees","computers and society","most scientists need software to perform their research (barker et al., 2020; carver et al., 2022; hettrick, 2014; hettrick et al., 2014; switters and osimo, 2019), and neuroscientists are no exception. whether we work with reaction times, electrophysiological signals, or magnetic resonance imaging data, we rely on software to acquire, analyze, and statistically evaluate the raw data we obtain - or to generate such data if we work with simulations. in recent years there has been a shift toward relying on free, open-source scientific software (fosss) for neuroscience data analysis (poldrack et al., 2019), in line with the broader open science movement in academia (mckiernan et al., 2016) and wider industry trends (eghbal, 2016). importantly, fosss is typically developed by working scientists (not professional software developers) which sets up a precarious situation given the nature of the typical academic workplace (wherein academics, especially in their early careers, are on short and fixed term contracts). in this paper, we will argue that the existing ecosystem of neuroscientific open source software is brittle, and discuss why and how the neuroscience community needs to come together to ensure a healthy growth of our software landscape to the benefit of all.",2024-03-28
"coderujb: an executable and unified java benchmark for practical programming scenarios","zhengran zeng, yidong wang, rui xie, wei ye, shikun zhang","software engineering","in the evolving landscape of large language models (llms) tailored for software engineering, the need for benchmarks that accurately reflect real-world development scenarios is paramount. current benchmarks are either too simplistic or fail to capture the multi-tasking nature of software development. to address this, we introduce coderujb, a new benchmark designed to evaluate llms across diverse java programming tasks that are executable and reflective of actual development scenarios, acknowledging java's prevalence in real-world software production. coderujb comprises 2,239 programming questions derived from 17 real open-source java projects and spans five practical programming tasks. our empirical study on this benchmark investigates the coding abilities of various open-source and closed-source llms, examining the effects of continued pre-training in specific programming languages code and instruction fine-tuning on their performance. the findings indicate that while llms exhibit strong potential, challenges remain, particularly in non-functional code generation (e.g., test generation and defect detection). importantly, our results advise caution in the specific programming languages continued pre-training and instruction fine-tuning, as these techniques could hinder model performance on certain tasks, suggesting the need for more nuanced strategies. coderujb thus marks a significant step towards more realistic evaluations of programming capabilities in llms, and our study provides valuable insights for the future development of these models in software engineering.",2024-03-28
"efficient multi-band temporal video filter for reducing human-robot interaction","lawrence o'gorman","robotics","although mobile robots have on-board sensors to perform navigation, their efficiency in completing paths can be enhanced by planning to avoid human interaction. infrastructure cameras can capture human activity continuously for the purpose of compiling activity analytics to choose efficient times and routes. we describe a cascade temporal filtering method to efficiently extract short- and long-term activity in two time dimensions, isochronal and chronological, for use in global path planning and local navigation respectively. the temporal filter has application either independently, or, if object recognition is also required, it can be used as a pre-filter to perform activity-gating of the more computationally expensive neural network processing. for a testbed 32-camera network, we show how this hybrid approach can achieve over 8 times improvement in frames per second throughput and 6.5 times reduction of system power use. we also show how the cost map of static objects in the ros robot software development framework is augmented with dynamic regions determined from the temporal filter.",2024-03-26
"building an open-source community to enhance autonomic nervous system signal analysis: dbdp-autonomic","jessilyn dunn, varun mishra, md mobashir hasan shandhi, hayoung jeong, natasha yamane, yuna watanabe, bill chen, matthew s. goodwin","human-computer interaction","smartphones and wearable sensors offer an unprecedented ability to collect peripheral psychophysiological signals across diverse timescales, settings, populations, and modalities. however, open-source software development has yet to keep pace with rapid advancements in hardware technology and availability, creating an analytical barrier that limits the scientific usefulness of acquired data. we propose a community-driven, open-source peripheral psychophysiological signal pre-processing and analysis software framework that could advance biobehavioral health by enabling more robust, transparent, and reproducible inferences involving autonomic nervous system data.",2024-03-25
"seeking enlightenment: incorporating evidence-based practice techniques in a research software engineering team","reed milewicz, jon bisila, miranda mundt, joshua teves","software engineering","evidence-based practice (ebp) in software engineering aims to improve decision-making in software development by complementing practitioners' professional judgment with high-quality evidence from research. we believe the use of ebp techniques may be helpful for research software engineers (rses) in their work to bring software engineering best practices to scientific software development. in this study, we present an experience report on the use of a particular ebp technique, rapid reviews, within an rse team at sandia national laboratories, and present practical recommendations for how to address barriers to ebp adoption within the rse community.",2024-03-25
"enhancing software effort estimation through reinforcement learning-based project management-oriented feature selection","haoyang chen, botong xu, kaiyang zhong","software engineering","purpose: the study aims to investigate the application of the data element market in software project management, focusing on improving effort estimation by addressing challenges faced by traditional methods. design/methodology/approach: this study proposes a solution based on feature selection, utilizing the data element market and reinforcement learning-based algorithms to enhance the accuracy of software effort estimation. it explores the application of the marlfs algorithm, customizing improvements to the algorithm and reward function. findings: this study demonstrates that the proposed approach achieves more precise estimation compared to traditional methods, leveraging feature selection to guide project management in software development. originality/value: this study contributes to the field by offering a novel approach that combines the data element market, machine learning, and feature selection to improve software effort estimation, addressing limitations of traditional methods and providing insights for future research in project management.",2024-03-25
"codes: natural language to code repository via multi-layer sketch","daoguang zan, ailun yu, wei liu, dong chen, bo shen, wei li, yafen yao, yongshun gong, xiaolin chen, bei guan, zhiguang yang, yongji wang, qianxiang wang, lizhen cui","computation and language","the impressive performance of large language models (llms) on code-related tasks has shown the potential of fully automated software development. in light of this, we introduce a new software engineering task, namely natural language to code repository (nl2repo). this task aims to generate an entire code repository from its natural language requirements. to address this task, we propose a simple yet effective framework codes, which decomposes nl2repo into multiple sub-tasks by a multi-layer sketch. specifically, codes includes three modules: reposketcher, filesketcher, and sketchfiller. reposketcher first generates a repository's directory structure for given requirements; filesketcher then generates a file sketch for each file in the generated structure; sketchfiller finally fills in the details for each function in the generated file sketch. to rigorously assess codes on the nl2repo task, we carry out evaluations through both automated benchmarking and manual feedback analysis. for benchmark-based evaluation, we craft a repository-oriented benchmark, sketcheval, and design an evaluation metric, sketchbleu. for feedback-based evaluation, we develop a vscode plugin for codes and engage 30 participants in conducting empirical studies. extensive experiments prove the effectiveness and practicality of codes on the nl2repo task.",2024-03-25
"a mixed method study of devops challenges","minaoar hossain tanzil, masud sarker, gias uddin, anindya iqbal","software engineering","context: devops practices combine software development and it operations. there is a growing number of devops related posts in popular online developer forum stack overflow (so). while previous research analyzed so posts related to build/release engineering, we are aware of no research that specifically focused on devops related discussions. objective: to learn the challenges developers face while using the currently available devops tools and techniques along with the organizational challenges in devops practices. method: we conduct an empirical study by applying topic modeling on 174k so posts that contain devops discussions. we then validate and extend the empirical study findings with a survey of 21 professional devops practitioners. results: we find that: (1) there are 23 devops topics grouped into four categories: cloud & ci/cd tools, infrastructure as code, container & orchestration, and quality assurance. (2) the topic category cloud & ci/cd tools contains the highest number of topics (10) which cover 48.6% of all questions in our dataset, followed by the category infrastructure as code (28.9%). (3) file management is the most popular topic followed by jenkins pipeline, while infrastructural exception handling and jenkins distributed architecture are the most difficult topics (with least accepted answers). (4) in the survey, developers mention that it requires hands-on experience before current devops tools can be considered easy. they raised the needs for better documentation and learning resources to learn the rapidly changing devops tools and techniques. practitioners also emphasized on the formal training approach by the organizations for devops skill development. conclusion: architects and managers can use the findings of this research to adopt appropriate devops technologies, and organizations can design tool or process specific devops training programs.",2024-03-25
"""how do people decide?"": a model for software library selection","minaoar hossain tanzil, gias uddin, ann barcomb","software engineering","modern-day software development is often facilitated by the reuse of third-party software libraries. despite the significant effort to understand the factors contributing to library selection, it is relatively unknown how the libraries are selected and what tools are still needed to support the selection process. using straussian grounded theory, we conducted and analyzed the interviews of 24 professionals across the world and derived a model of library selection process which is governed by six selection patterns (i.e., rules). the model draws from marketing theory and lays the groundwork for the development of a library selection tool which captures the technical and non-technical aspects developers consider.",2024-03-24
"explainable port mapping inference with sparse performance counters for amd's zen architectures","fabian ritter, sebastian hack","performance","performance models are instrumental for optimizing performance-sensitive code. when modeling the use of functional units of out-of-order x86-64 cpus, data availability varies by the manufacturer: instruction-to-port mappings for intel's processors are available, whereas information for amd's designs are lacking. the reason for this disparity is that standard techniques to infer exact port mappings require hardware performance counters that amd does not provide.
in this work, we modify the port mapping inference algorithm of the widely used this http url project to not rely on intel's performance counters. the modifications are based on a formal port mapping model with a counter-example-guided algorithm powered by an smt solver. we investigate in how far amd's processors comply with this model and where unexpected performance characteristics prevent an accurate port mapping. our results provide valuable insights for creators of cpu performance models as well as for software developers who want to achieve peak performance on recent amd cpus.",2024-03-24
"who uses personas in requirements engineering: the practitioners' perspective","yi wang, chetan arora, xiao liu, thuong hoang, vasudha malhotra, ben cheng, john grundy","software engineering","personas are commonly used in software projects to gain a better understanding of end-users' needs. however, there is a limited understanding of their usage and effectiveness in practice. this paper presents the results of a two-step investigation, comprising interviews with 26 software developers, ui/ux designers, business analysts and product managers and a survey of 203 practitioners, aimed at shedding light on the current practices, methods and challenges of using personas in software development. our findings reveal variations in the frequency and effectiveness of personas across different software projects and it companies, the challenges practitioners face when using personas and the reasons for not using them at all. furthermore, we investigate the coverage of human aspects in personas, often assumed to be a key feature of persona descriptions. contrary to the general perception, our study shows that human aspects are often ignored for various reasons in personas or requirements engineering in general. our study provides actionable insights for practitioners to overcome challenges in using personas during requirements engineering stages, and we identify areas for future research.",2024-03-23
"when llm-based code generation meets the software development process","feng lin, dong jae kim, tse-husn (peter)chen","software engineering","software process models play a pivotal role in fostering collaboration and communication within software teams, enabling them to tackle intricate development tasks effectively. this paper introduces lcg, a code generation framework inspired by established software engineering practices. lcg leverages multiple large language model (llm) agents to emulate various software process models, namely lcgwaterfall, lcgtdd, and lcgscrum. each model assigns llm agents specific roles such as requirement engineer, architect, developer, tester, and scrum master, mirroring typical development activities and communication patterns. through collaborative efforts utilizing chain-of-thought and prompt composition techniques, the agents continuously refine themselves to enhance code quality. utilizing gpt3.5 as the underlying llm and baseline (gpt), we evaluate lcg across four code generation benchmarks: humaneval, humaneval-et, mbpp, and mbpp-et. results indicate lcgscrum outperforms other models, achieving pass@1 scores of 75.2, 65.5, 82.5, and 56.7 in humaneval, humaneval-et, mbpp, and mbpp-et, respectively - an average 15% improvement over gpt. analysis reveals distinct impacts of development activities on generated code, with design and code reviews contributing to enhanced exception handling, while design, testing, and code reviews mitigate code smells. furthermore, temperature values exhibit negligible influence on pass@1 across all models. however, variations in pass@1 are notable for different gpt3.5 model versions, ranging from 5 to over 60 in humaneval, highlighting the stability of lcg across model versions. this stability underscores the importance of adopting software process models to bolster the quality and consistency of llm-generated code.",2024-03-23
"just another copy and paste? comparing the security vulnerabilities of chatgpt generated code and stackoverflow answers","sivana hamer, marcelo d'amorim, laurie williams","software engineering","sonatype's 2023 report found that 97% of developers and security leads integrate generative artificial intelligence (ai), particularly large language models (llms), into their development process. concerns about the security implications of this trend have been raised. developers are now weighing the benefits and risks of llms against other relied-upon information sources, such as stackoverflow (so), requiring empirical data to inform their choice. in this work, our goal is to raise software developers awareness of the security implications when selecting code snippets by empirically comparing the vulnerabilities of chatgpt and stackoverflow. to achieve this, we used an existing java dataset from so with security-related questions and answers. then, we asked chatgpt the same so questions, gathering the generated code for comparison. after curating the dataset, we analyzed the number and types of common weakness enumeration (cwe) vulnerabilities of 108 snippets from each platform using codeql. chatgpt-generated code contained 248 vulnerabilities compared to the 302 vulnerabilities found in so snippets, producing 20% fewer vulnerabilities with a statistically significant difference. additionally, chatgpt generated 19 types of cwe, fewer than the 22 found in so. our findings suggest developers are under-educated on insecure code propagation from both platforms, as we found 274 unique vulnerabilities and 25 types of cwe. any code copied and pasted, created by ai or humans, cannot be trusted blindly, requiring good software engineering practices to reduce risk. future work can help minimize insecure code propagation from any platform.",2024-03-22
"towards deep learning enabled cybersecurity risk assessment for microservice architectures","majid abdulsatar, hussain ahmad, diksha goel, faheem ullah","software engineering","the widespread adoption of microservice architectures has given rise to a new set of software security challenges. these challenges stem from the unique features inherent in microservices. it is important to systematically assess and address software security challenges such as software security risk assessment. however, existing approaches prove inefficient in accurately evaluating the security risks associated with microservice architectures. to address this issue, we propose cyberwise predictor, a framework designed for predicting and assessing security risks associated with microservice architectures. our framework employs deep learning-based natural language processing models to analyze vulnerability descriptions for predicting vulnerability metrics to assess security risks. our experimental evaluation shows the effectiveness of cyberwise predictor, achieving an average accuracy of 92% in automatically predicting vulnerability metrics for new vulnerabilities. our framework and findings serve as a guide for software developers to identify and mitigate security risks in microservice architectures.",2024-03-22
